,self_own_assets,poor_level,poor_level_5y_ago,poor_level_5y_later,job_satisfaction,working hours,life_satisfaction
0,1,1.0,1.0,1.0,2.0,56.0,3.0
1,1,1.0,1.0,1.0,2.0,56.0,3.0
2,1,1.0,1.0,1.0,2.0,56.0,3.0
3,1,1.0,1.0,1.0,2.0,56.0,3.0
4,1,1.0,1.0,1.0,3.0,12.0,4.0
5,1,1.0,1.0,1.0,3.0,12.0,4.0
6,1,1.0,1.0,1.0,3.0,12.0,4.0
7,3,1.0,1.0,1.0,2.0,49.0,3.0
8,1,1.0,1.0,1.0,2.0,49.0,3.0
9,1,1.0,1.0,1.0,2.0,49.0,3.0
10,1,6.0,6.0,6.0,1.0,12.0,2.0
11,1,6.0,6.0,6.0,1.0,12.0,2.0
12,1,6.0,6.0,6.0,1.0,12.0,2.0
13,1,6.0,6.0,6.0,1.0,12.0,2.0
14,1,6.0,6.0,6.0,1.0,12.0,2.0
15,1,1.0,1.0,1.0,2.0,30.0,4.0
16,1,1.0,1.0,1.0,2.0,30.0,4.0
17,1,1.0,1.0,1.0,2.0,14.0,2.0
18,1,1.0,1.0,1.0,2.0,14.0,2.0
19,1,1.0,1.0,1.0,3.0,45.0,4.0
20,1,1.0,1.0,1.0,3.0,45.0,4.0
21,1,1.0,1.0,1.0,3.0,45.0,4.0
22,1,1.0,1.0,1.0,3.0,45.0,4.0
23,1,1.0,1.0,1.0,4.0,16.0,4.0
24,3,1.0,1.0,1.0,4.0,16.0,4.0
25,1,1.0,1.0,1.0,4.0,16.0,4.0
26,1,6.0,1.0,6.0,2.0,35.0,3.0
27,1,6.0,1.0,6.0,2.0,35.0,3.0
28,1,6.0,1.0,6.0,2.0,35.0,3.0
29,1,6.0,1.0,6.0,2.0,35.0,3.0
30,1,6.0,6.0,6.0,2.0,12.0,2.0
31,1,6.0,6.0,6.0,2.0,12.0,2.0
32,1,6.0,6.0,6.0,2.0,12.0,2.0
33,1,6.0,6.0,6.0,2.0,12.0,2.0
34,1,6.0,1.0,6.0,2.0,77.0,2.0
35,1,6.0,1.0,6.0,2.0,77.0,2.0
36,1,6.0,1.0,6.0,2.0,77.0,2.0
37,1,6.0,1.0,6.0,2.0,77.0,2.0
38,1,6.0,1.0,6.0,2.0,77.0,2.0
39,1,6.0,1.0,6.0,2.0,77.0,2.0
40,1,1.0,1.0,1.0,3.0,24.0,2.0
41,1,1.0,1.0,1.0,3.0,24.0,2.0
42,1,1.0,1.0,1.0,3.0,24.0,2.0
43,1,1.0,1.0,1.0,2.0,21.0,2.0
44,1,1.0,1.0,1.0,2.0,21.0,2.0
45,1,1.0,1.0,1.0,2.0,21.0,2.0
46,1,6.0,1.0,6.0,2.0,90.0,3.0
47,1,6.0,1.0,6.0,2.0,90.0,3.0
48,1,6.0,1.0,6.0,2.0,90.0,3.0
49,1,6.0,1.0,6.0,2.0,90.0,3.0
50,1,1.0,1.0,1.0,3.0,35.0,4.0
51,1,1.0,1.0,1.0,3.0,35.0,4.0
52,1,1.0,1.0,1.0,3.0,35.0,4.0
53,1,1.0,1.0,1.0,3.0,35.0,4.0
54,1,1.0,1.0,1.0,2.0,1.0,2.0
55,1,1.0,1.0,1.0,2.0,1.0,2.0
56,1,1.0,1.0,1.0,2.0,1.0,2.0
57,1,1.0,1.0,1.0,2.0,1.0,2.0
58,1,1.0,1.0,1.0,2.0,1.0,2.0
59,1,1.0,1.0,1.0,2.0,1.0,2.0
